No,Nama Lengkap,Alamat,Kota,Tempat Lahir,Tanggal Lahir,Umur (th),No BPJS,ID Pasien
31,Nyoman Gelgel,Jl Enam No.10,Kota Banjar,Kab. Jombang,24 Oktober 1982,41,1234567920,KX 123015
32,I Gede Ardana,Jl Enam No.8,Kota Cimahi,Kab. Pasuruan,1 September 1976,47,1234567921,KX 123015
33,Kadek Diarta,Jl Enam No.2,Kota Tasikmalaya,Kab. Tasikmalaya,6 Juni 1979,44,1234567922,KX 123015
34,Gede Sujana,Jl Enam No.14,Kota Cimahi,Kota Kediri,12 Januari 1977,47,1234567923,KX 123015
35,Gede Siki,Jl Lima No.3,Kab. Kuningan,Kab. Ponorogo,13 Juni 1980,43,1234567924,KX 123015
36,I Made Mahardana,Jl Sembilan No.4,Kab. Bekasi,Kab. Tuban,23 Agustus 1985,38,1234567925,KX 123015
37,Gede Suriada,Jl Lima No.1,Kota Bandung,Kab. Sumedang,2 Juni 1985,38,1234567926,KX 123015
38,I Ketut Sumartana,Jl Tiga No.19,Kab. Karawang,Kab. Cilacap,12 Maret 1978,46,1234567927,KX 123016
39,I Gede Oka,Jl Enam No.5,Kab. Cianjur,Kota Surabaya,16 September 1979,44,1234567928,KX 123016
40,Ketut Laba,Jl Sembilan No.3,Kab. Bandung,Kab. Majalengka,27 September 1981,42,1234567929,KX 123016
41,Ketut Suardika,Jl Satu No.4,Kab. Garut,Kab. Subang,29 Mei 1981,43,1234567930,KX 123016
42,Kadek Budi Arta Yasa,Jl Tujuh No.16,Kab. Purwakarta,Kab. Jepara,19 Desember 1980,43,1234567931,KX 123016
43,I Ketut Switra,Jl Tiga No.14,Kab. Sumedang,Kab. Tulungagung,30 Mei 1980,44,1234567932,KX 123016
44,Komang Ngurah Mahardika,Jl Sepuluh No.13,Kab. Bekasi,Kab. Wonogiri,6 April 1984,40,1234567933,KX 123016
45,Gede Budi Arta,Jl Tiga No.13,Kab. Bogor,Kab. Gresik,24 Juni 1979,44,1234567934,KX 123016
46,Kadek Ngurah Arjana,Jl Sepuluh No.20,Kota Depok,Kota Bekasi,24 April 1980,44,1234567935,KX 123016
47,Gede Semara Jaya,Jl Depalan No.19,Kota Depok,Kota Bogor,24 Agustus 1980,43,1234567936,KX 123016
48,Ketut Budiarta,Jl Satu No.6,Kab. Pangandaran,Kab. Jepara,17 Desember 1980,43,1234567937,KX 123017
49,I Gede Widana,Jl Enam No.14,Kab. Purwakarta,Kab. Bondowoso,27 Oktober 1983,40,1234567938,KX 123017
50,Ketut Widarma,Jl Empat No.6,Kab. Cirebon,Kab. Tuban,7 Juni 1982,41,1234567939,KX 12301
1,Aris Suwito,Jl. Satu No.14,Kota Bandung,Kab. Mojokerto,1 Januari 1980,44,1234567890,KX 123012
2,Wawan Gunawan,Jl Dua No.3,Kab. Bandung,Kota Cirebon,14 Desember 1979,44,1234567891,KX 123012
3,Nyoman Sukiadi,Jl Lima No.13,Kab. Bogor,Kab. Probolinggo,2 Maret 1975,49,1234567892,KX 123012
4,Ketut Gelgel,Jl Tujuh No.1,Kab. Karawang,Kota Magelang,8 Juni 1984,39,1234567893,KX 123012
5,Wayan Suanda,Jl Satu No.1,Kab. Cianjur,Kab. Tasikmalaya,12 Mei 1985,39,1234567894,KX 123012
6,Gede Darsana,Jl Lima No.10,Kota Tasikmalaya,Kab. Kediri,13 Juni 1984,39,1234567895,KX 123012
7,Komang Ranten,Jl Depalan No.19,Kab. Cirebon,Kab. Pekalongan,30 Juli 1977,46,1234567896,KX 123012
8,I Ketut Dana,Jl Lima No.9,Kab. Bogor,Kab. Semarang,29 Januari 1983,41,1234567897,KX 123013
9,Nengah Widiarta,Jl Lima No.15,Kota Cirebon,Kab. Ciamis,20 Juli 1985,38,1234567898,KX 123013
10,Putu Wirnata,Jl Tiga No.7,Kab. Cirebon,Kab. Jember,28 Juni 1979,44,1234567899,KX 123013
11,Made Sukrata,Jl Sepuluh No.18,Kab. Ciamis,Kab. Sidoarjo,28 September 1981,42,1234567900,KX 123013
12,Nyoman Landuh,Jl Tiga No.17,Kota Cimahi,Kab. Purwakarta,6 April 1978,46,1234567901,KX 123013
13,Gede Sardi,Jl Sepuluh No.4,Kab. Pangandaran,Kab. Blora,30 Oktober 1977,46,1234567902,KX 123013
14,Komang Sumadi,Jl Dua No.4,Kota Sukabumi,Kab. Kebumen,14 Januari 1983,41,1234567903,KX 123013
15,Nengah Kajanan,Jl Dua No.10,Kota Banjar,Kab. Kebumen,16 Mei 1976,48,1234567904,KX 123013
16,Wayan Belasin,Jl Sembilan No.16,Kab. Sumedang,Kab. Bandung Barat,11 September 1983,40,1234567905,KX 123013
17,Nengah Rinti,Jl Sembilan No.16,Kota Cirebon,Kota Bekasi,3 Agustus 1976,47,1234567906,KX 123013
18,Gede Ngurah Arianta,Jl Depalan No.2,Kab. Kuningan,Kab. Cirebon,21 Mei 1981,43,1234567907,KX 123014
19,Wayan Kisid,Jl Sepuluh No.4,Kota Cirebon,Kota Bogor,8 Januari 1977,47,1234567908,KX 123014
20,Luh Alit,Jl Sembilan No.20,Kota Sukabumi,Kab. Pekalongan,6 Desember 1980,43,1234567909,KX 123014
21,I Komang Rediartana,Jl Tiga No.19,Kota Cirebon,Kab. Wonogiri,21 April 1983,41,1234567910,KX 123014
22,Komang Rediasa,Jl Tujuh No.15,Kab. Subang,Kab. Purwakarta,10 Januari 1975,49,1234567911,KX 123014
23,Wayan Gitong,Jl Tujuh No.5,Kab. Kuningan,Kab. Probolinggo,4 Maret 1976,48,1234567912,KX 123014
24,Nyoman Widiasa,Jl Satu No.19,Kota Bogor,Kab. Pati,27 Juni 1983,40,1234567913,KX 123014
25,Nyoman Daging,Jl Tiga No.16,Kota Cimahi,Kota Surakarta,20 Juni 1984,39,1234567914,KX 123014
26,Nengah Landep,Jl Tujuh No.17,Kab. Tasikmalaya,Kab. Subang,19 Oktober 1985,38,1234567915,KX 123014
27,Gede Maliada,Jl Satu No.7,Kab. Cirebon,Kab. Kediri,1 Juli 1985,38,1234567916,KX 123014
28,Nengah Astawa,Jl Lima No.20,Kab. Indramayu,Kota Tegal,16 September 1983,40,1234567917,KX 123015
29,Wayan Parti Yasa,Jl Sembilan No.16,Kota Depok,Kab. Purwakarta,10 November 1976,47,1234567918,KX 123015
30,I Wayan Norsi,Jl Sembilan No.19,Kab. Cianjur,Kab. Bogor,26 November 1980,43,1234567919,KX 123015
31,Nyoman Gelgel,Jl Enam No.10,Kota Banjar,Kab. Jombang,24 Oktober 1982,41,1234567920,KX 123015
32,I Gede Ardana,Jl Enam No.8,Kota Cimahi,Kab. Pasuruan,1 September 1976,47,1234567921,KX 123015
33,Kadek Diarta,Jl Enam No.2,Kota Tasikmalaya,Kab. Tasikmalaya,6 Juni 1979,44,1234567922,KX 123015
34,Gede Sujana,Jl Enam No.14,Kota Cimahi,Kota Kediri,12 Januari 1977,47,1234567923,KX 123015
35,Gede Siki,Jl Lima No.3,Kab. Kuningan,Kab. Ponorogo,13 Juni 1980,43,1234567924,KX 123015
36,I Made Mahardana,Jl Sembilan No.4,Kab. Bekasi,Kab. Tuban,23 Agustus 1985,38,1234567925,KX 123015
37,Gede Suriada,Jl Lima No.1,Kota Bandung,Kab. Sumedang,2 Juni 1985,38,1234567926,KX 123015
38,I Ketut Sumartana,Jl Tiga No.19,Kab. Karawang,Kab. Cilacap,12 Maret 1978,46,1234567927,KX 123016
39,I Gede Oka,Jl Enam No.5,Kab. Cianjur,Kota Surabaya,16 September 1979,44,1234567928,KX 123016
40,Ketut Laba,Jl Sembilan No.3,Kab. Bandung,Kab. Majalengka,27 September 1981,42,1234567929,KX 123016
41,Ketut Suardika,Jl Satu No.4,Kab. Garut,Kab. Subang,29 Mei 1981,43,1234567930,KX 123016
42,Kadek Budi Arta Yasa,Jl Tujuh No.16,Kab. Purwakarta,Kab. Jepara,19 Desember 1980,43,1234567931,KX 123016
43,I Ketut Switra,Jl Tiga No.14,Kab. Sumedang,Kab. Tulungagung,30 Mei 1980,44,1234567932,KX 123016
44,Komang Ngurah Mahardika,Jl Sepuluh No.13,Kab. Bekasi,Kab. Wonogiri,6 April 1984,40,1234567933,KX 123016
45,Gede Budi Arta,Jl Tiga No.13,Kab. Bogor,Kab. Gresik,24 Juni 1979,44,1234567934,KX 123016
46,Kadek Ngurah Arjana,Jl Sepuluh No.20,Kota Depok,Kota Bekasi,24 April 1980,44,1234567935,KX 123016
47,Gede Semara Jaya,Jl Depalan No.19,Kota Depok,Kota Bogor,24 Agustus 1980,43,1234567936,KX 123016
48,Ketut Budiarta,Jl Satu No.6,Kab. Pangandaran,Kab. Jepara,17 Desember 1980,43,1234567937,KX 123017
49,I Gede Widana,Jl Enam No.14,Kab. Purwakarta,Kab. Bondowoso,27 Oktober 1983,40,1234567938,KX 123017
50,Ketut Widarma,Jl Empat No.6,Kab. Cirebon,Kab. Tuban,7 Juni 1982,41,1234567939,KX 12301
